valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.184,2017,0.128,"['Deluzion', 'Alee']",0.557,204142,0.966,0,5ud9nL7KfVyzsiJBfX3WNK,0.0,1,0.531,-3.591,1,Unstoppable,0,2017-12-20,0.185,157.954
0.235,2016,7.72e-05,['Dexter Morgan'],0.621,153750,0.984,0,6AVeFofFGPjFIvbkZESgan,0.000703,6,0.599,-5.824,0,Galaxy,0,2016-12-30,0.436,127.909
0.5870000000000001,2017,0.252,['Tunghook'],0.434,260773,0.92,0,6HjiCsTBDgUVtfm1qN10D1,0.0302,6,0.162,-4.253,0,Never Will I Forget,0,2017-05-19,0.0555,131.19299999999998
0.141,2016,0.12,['Danyr'],0.7829999999999999,510968,0.69,0,6NyvQTmVjqeH5GAxad25Um,0.8859999999999999,6,0.684,-11.396,1,Radio Noise - Original mix,0,2016-12-30,0.0549,124.009
0.177,2017,0.0071,['R-Tem'],0.753,570540,0.67,0,6w60yQ85t7uDEAuL2dfX54,0.894,2,0.117,-8.179,0,How You Swear,0,2017-07-21,0.0851,126.023
0.365,2016,0.000466,"[""Freaky DJ's"", 'Coldway']",0.588,230740,0.867,0,6zhwStNzxKW30WvCIaF8QM,0.00448,1,0.224,-4.136,1,Body - Radio Edit,0,2016-12-23,0.0309,127.965
0.268,2017,0.0509,['Titan'],0.393,197557,0.953,0,6zpRn7lDTTH77VIb9b6zXJ,0.0183,11,0.107,-2.832,0,In Your Face,0,2017-12-20,0.19,154.593
0.228,2018,0.0224,['Ferception'],0.597,321901,0.826,0,74N6veuDT6vt0q3zA0ntcy,0.731,7,0.132,-3.93,1,Free Run,0,2018-03-14,0.0448,170.02
0.752,2016,0.0351,"['DJ Lykov', 'Kira Madison']",0.797,280308,0.974,0,7A5orBur0SHZqOWWZYXYaA,0.253,0,0.034,-2.529,0,I Have A Choice,0,2016-12-30,0.086,125.012
0.711,2017,0.00626,"['Alex Kenji', 'Me & My Toothbrush']",0.868,182439,0.8390000000000001,0,7fpVaU5ABCjDoIcrAFJpr3,0.735,2,0.471,-4.58,1,My Babe - Me & My Toothbrush Remix Edit,1,2017-12-22,0.0621,123.005
0.797,2017,0.00383,"['Maa Bashi', 'Matan Caspi']",0.797,361851,0.885,0,7gj8TXpRMaR8KXgcLQgAFK,0.908,1,0.111,-7.409,1,Scarab - Matan Caspi Remix,0,2017-07-21,0.0685,130.02100000000002
0.6809999999999999,2016,0.00185,['Vacile Beat'],0.815,47040,0.433,0,7k8qcBdRblDnQYxMFEjCcE,0.969,11,0.0991,-11.385,0,Link - DJ Tool,0,2016-12-23,0.201,125.04
0.561,2017,0.247,['Sarkodie'],0.7020000000000001,180402,0.828,1,7ueL2yQBXpNmWi7tZSEX6E,0.0,11,0.0358,-3.4810000000000003,0,R.N.S (Rich Nigga Shit),3,2017-05-26,0.252,135.39
0.121,2018,0.203,['DMBS'],0.81,87384,0.29,0,7vvpfhKjaqR1hTWKskrVHG,0.923,7,0.121,-15.562,1,Give It,0,2018-11-23,0.232,110.034
0.339,2016,0.0573,['Spirrin'],0.58,210068,0.915,0,0ZgSKqAsw5efwH6bk74OBu,0.0491,4,0.125,-6.1370000000000005,0,Dreamlife,0,2016-12-28,0.355,128.009
0.696,2016,0.00394,['Alexander Gorya'],0.846,249687,0.664,0,0upQEHhQNK4QOxeMY1PmhV,0.585,7,0.0774,-8.642000000000001,1,Eclipse,0,2016-12-28,0.135,123.983
